
13:00:58 debug 6
13:40:29 debug 8
13:40:35 debug 9
13:41:09 debug 3
13:41:17 debug 4
16:57:01 debug 5
16:57:30 debug 6
17:05:04 debug 7
17:05:05 debug 8
17:05:06 debug 9
17:26:24 kwargs,  {'blog_id': 1} <class 'dict'>
17:27:03 kwargs,  {'blog_id': 1} <class 'dict'>
17:27:03 kwargs,  {'id': 1} <class 'dict'>
17:27:07 kwargs,  {'blog_id': 1} <class 'dict'>
17:27:07 kwargs,  {'id': 1} <class 'dict'>
17:27:16 kwargs,  {'blog_id': 1} <class 'dict'>
17:27:16 kwargs,  {'id': 1} <class 'dict'>
21:41:39 kwargs,  {'id': 3} <class 'dict'>
21:41:42 kwargs,  {'id': 1} <class 'dict'>
21:41:46 kwargs,  {'id': 2} <class 'dict'>
21:46:16 kwargs,  {'blog_id': 1} <class 'dict'>
21:46:19 kwargs,  {'blog_id': 1} <class 'dict'>
21:47:24 kwargs,  {'blog_id': 1} <class 'dict'>
21:47:26 kwargs,  {'blog_id': 1} <class 'dict'>
21:47:38 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:32 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:32 kwargs,  {'id': 1} <class 'dict'>
21:48:36 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:36 kwargs,  {'id': 1} <class 'dict'>
21:48:40 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:40 kwargs,  {'id': 1} <class 'dict'>
21:48:42 kwargs,  {'blog_id': 1} <class 'dict'>
21:48:42 kwargs,  {'id': 1} <class 'dict'>
21:49:36 kwargs,  {'blog_id': 1} <class 'dict'>
21:49:36 kwargs,  {'id': 1} <class 'dict'>
21:50:02 kwargs,  {'blog_id': 1} <class 'dict'>
21:50:02 kwargs,  {'id': 1} <class 'dict'>
21:50:14 kwargs,  {'blog_id': 1} <class 'dict'>
21:50:14 kwargs,  {'id': 1} <class 'dict'>
21:52:15 kwargs,  {'blog_id': 1} <class 'dict'>
21:52:15 kwargs,  {'id': 1} <class 'dict'>
21:52:23 kwargs,  {'blog_id': 1} <class 'dict'>
21:52:23 kwargs,  {'id': 1} <class 'dict'>
21:55:02 kwargs,  {'blog_id': 1} <class 'dict'>
21:55:02 kwargs,  {'id': 1} <class 'dict'>
21:55:07 kwargs,  {'blog_id': 3} <class 'dict'>
21:55:07 kwargs,  {'id': 3} <class 'dict'>
